# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.596856021881103516e+01 3.546380996704101562e-02 5.695868134498596191e-01 1.694117546081542969e+01 3.546380996704101562e-02 5.695868134498596191e-01 1.154347300529479980e+00
1.000000000000000000e+03 3.181965323165059090e-03 3.645552787929773331e-03 9.326900471933186054e-04 7.135483901947736740e-03 3.645552787929773331e-03 9.326900471933186054e-04 7.280714064836502075e-02
2.000000000000000000e+03 7.221367559395730495e-04 3.001584263984113932e-04 2.092873910441994667e-04 2.009522402659058571e-03 3.001584263984113932e-04 2.092873910441994667e-04 2.079962007701396942e-02
3.000000000000000000e+03 3.406178439036011696e-04 4.188683669781312346e-05 4.178321250947192311e-05 1.005053403787314892e-03 4.188683669781312346e-05 4.178321250947192311e-05 8.261674083769321442e-03
4.000000000000000000e+03 2.086602617055177689e-04 1.136443370342021808e-05 1.627303754503373057e-05 6.108543602749705315e-04 1.136443370342021808e-05 1.627303754503373057e-05 4.423001315444707870e-03
5.000000000000000000e+03 1.043767770170234144e-04 6.239365120563888922e-06 6.083520020183641464e-06 3.762138658203184605e-04 6.239365120563888922e-06 6.083520020183641464e-06 3.502449253574013710e-03
6.000000000000000000e+03 1.389445824315771461e-04 7.675125743844546378e-06 6.645360372203867882e-06 2.778397174552083015e-04 7.675125743844546378e-06 6.645360372203867882e-06 3.761555068194866180e-03
7.000000000000000000e+03 6.575862789759412408e-05 7.364079010585555807e-06 3.415012088225921616e-06 2.098441764246672392e-04 7.364079010585555807e-06 3.415012088225921616e-06 3.434810088947415352e-03
8.000000000000000000e+03 3.850708526442758739e-05 5.816525572299724445e-06 3.100571120739914477e-06 1.358195877401158214e-04 5.816525572299724445e-06 3.100571120739914477e-06 3.182027023285627365e-03
9.000000000000000000e+03 1.323114265687763691e-04 1.585690188221633434e-05 6.154607490316266194e-06 1.217398821609094739e-04 1.585690188221633434e-05 6.154607490316266194e-06 5.049874540418386459e-03
1.000000000000000000e+04 2.088049586745910347e-05 5.593839887296780944e-06 1.793694536900147796e-06 7.854746218072250485e-05 5.593839887296780944e-06 1.793694536900147796e-06 2.964527113363146782e-03
